record_type,transaction_id,transaction_at,business_date,processor,source_system,venue_area,terminal_id,reference_id,transaction_type,amount,settlement_status,auth_code,expected_amount,settled_amount,variance_amount,expected_transaction_count,settled_transaction_count,discrepancy_type,diagnosis,recommended_action
transaction,txn-02133,2026-04-03 18:44:33,2026-04-03,SeatGeek,,GATE-A-TICKET,SG-BOX-6,SG-ORD-401756,REFUND,286.65,SETTLED,SG55241,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-02208,2026-04-03 18:45:37,2026-04-03,SeatGeek,,GATE-A-TICKET,SG-BOX-1,SG-ORD-400003,SALE,65.8,SETTLED,SG13847,,,,,,Duplicate reference,"Two or more ledger rows share the same processor reference ID, suggesting either a double export by the processor or a duplicate settlement batch upload.",Cross-check the raw export file for duplicate rows and void the secondary entry if the charge amount matches.
transaction,txn-02272,2026-04-03 18:46:27,2026-04-03,SeatGeek,,BOX-OFFICE,SG-BOX-7,SG-ORD-402108,REFUND,76.08,SETTLED,SG31895,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-02273,2026-04-03 18:46:27,2026-04-03,Tapin2,,PREMIUM-LOUNGE-ORDER,T2-KIOSK-2,T2-500002,SALE,14.44,PENDING,T2REF41609,,,,,,Unsettled status,Tapin2 digital order was confirmed by the guest but the settlement export did not include it — common when orders are placed offline and sync lags behind the export cutoff.,Pull the Tapin2 order management portal for the reference ID and manually reconcile against the export file.
transaction,txn-02422,2026-04-03 18:48:22,2026-04-03,Shift4,,MERCH-MAIN,TERM-124,INV-S4-100005,SALE,40.48,OFFLINE_UNSYNCED,AUTH9042,,,,,,Unsettled status,Shift4 terminal failed to sync its offline batch before end-of-day settlement cutoff — most likely caused by intermittent Wi-Fi in the stadium concourse during peak halftime load.,Ping the Shift Manager to force a manual terminal sync and re-run the Shift4 batch before final close.
transaction,txn-02456,2026-04-03 18:48:48,2026-04-03,SeatGeek,,GATE-A-TICKET,SG-BOX-2,SG-ORD-400210,REFUND,263.54,SETTLED,SG27048,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-02617,2026-04-03 18:50:55,2026-04-03,SeatGeek,,BOX-OFFICE,SG-BOX-5,SG-ORD-400373,REFUND,131.76,SETTLED,SG28589,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-02622,2026-04-03 18:51:01,2026-04-03,SeatGeek,,GATE-A-TICKET,SG-BOX-6,SG-ORD-402795,REFUND,213.77,SETTLED,SG65534,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-02678,2026-04-03 18:51:45,2026-04-03,FreedomPay,,TKT-GATE-4,FP-TERM-19,REQ-FP-200002,SALE,360.55,SETTLED,,,,,,,Missing auth code,"FreedomPay authorization was declined or never received — the auth code field is blank, indicating the card was presented but not approved.",Review the FreedomPay transaction journal for this reference ID and flag for potential cardholder dispute.
transaction,txn-02692,2026-04-03 18:52:04,2026-04-03,SeatGeek,,BOX-OFFICE,SG-BOX-6,SG-ORD-400074,REFUND,106.38,SETTLED,SG27943,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-02725,2026-04-03 18:52:29,2026-04-03,SeatGeek,,GATE-A-TICKET,SG-BOX-3,SG-ORD-400017,REFUND,285.23,SETTLED,SG20178,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-02761,2026-04-03 18:52:57,2026-04-03,FreedomPay,,TKT-GATE-4,FP-TERM-13,REQ-FP-200028,SALE,396.81,SETTLED,,,,,,,Missing auth code,"FreedomPay authorization was declined or never received — the auth code field is blank, indicating the card was presented but not approved.",Review the FreedomPay transaction journal for this reference ID and flag for potential cardholder dispute.
transaction,txn-02860,2026-04-03 18:54:10,2026-04-03,SeatGeek,,PREMIUM-SUITE-ENTRY,SG-BOX-4,SG-ORD-402268,REFUND,232.38,SETTLED,SG20224,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-03126,2026-04-03 18:57:20,2026-04-03,SeatGeek,,GATE-A-TICKET,SG-BOX-3,SG-ORD-400008,SALE,4259.01,SETTLED,SG27990,,,,,,High-value review,Large SeatGeek box-office transaction — likely a premium suite or VIP package sale that exceeds standard transaction thresholds.,Validate against the box-office manifest and confirm suite invoice number before finalising the ledger.
transaction,txn-03138,2026-04-03 18:57:28,2026-04-03,FreedomPay,,TKT-GATE-4,FP-TERM-13,REQ-FP-200014,SALE,140.26,SETTLED,,,,,,,Missing auth code,"FreedomPay authorization was declined or never received — the auth code field is blank, indicating the card was presented but not approved.",Review the FreedomPay transaction journal for this reference ID and flag for potential cardholder dispute.
transaction,txn-03226,2026-04-03 18:58:16,2026-04-03,FreedomPay,,VIP-SUITE-B,FP-TERM-11,REQ-FP-200019,SALE,72.88,SETTLED,,,,,,,Missing auth code,"FreedomPay authorization was declined or never received — the auth code field is blank, indicating the card was presented but not approved.",Review the FreedomPay transaction journal for this reference ID and flag for potential cardholder dispute.
transaction,txn-03350,2026-04-03 18:59:35,2026-04-03,SeatGeek,,GATE-A-TICKET,SG-BOX-4,SG-ORD-402943,REFUND,283.9,SETTLED,SG82201,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-03360,2026-04-03 18:59:41,2026-04-03,Tapin2,,SUITE-DELIVERY,T2-KIOSK-6,T2-500006,SALE,15.56,PENDING,T2REF62752,,,,,,Unsettled status,Tapin2 digital order was confirmed by the guest but the settlement export did not include it — common when orders are placed offline and sync lags behind the export cutoff.,Pull the Tapin2 order management portal for the reference ID and manually reconcile against the export file.
transaction,txn-03426,2026-04-03 19:00:21,2026-04-03,SeatGeek,,BOX-OFFICE,SG-BOX-1,SG-ORD-400570,REFUND,300.74,SETTLED,SG85442,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-03488,2026-04-03 19:00:52,2026-04-03,SeatGeek,,PREMIUM-SUITE-ENTRY,SG-BOX-6,SG-ORD-402315,REFUND,297.07,SETTLED,SG65309,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-03524,2026-04-03 19:01:13,2026-04-03,SeatGeek,,PREMIUM-SUITE-ENTRY,SG-BOX-6,SG-ORD-400009,SALE,3952.92,SETTLED,SG61470,,,,,,High-value review,Large SeatGeek box-office transaction — likely a premium suite or VIP package sale that exceeds standard transaction thresholds.,Validate against the box-office manifest and confirm suite invoice number before finalising the ledger.
transaction,txn-03535,2026-04-03 19:01:24,2026-04-03,SeatGeek,,GATE-B-TICKET,SG-BOX-7,SG-ORD-401209,REFUND,272.52,SETTLED,SG24334,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-03592,2026-04-03 19:01:57,2026-04-03,SeatGeek,,GATE-A-TICKET,SG-BOX-7,SG-ORD-401031,REFUND,182.23,SETTLED,SG79445,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-03692,2026-04-03 19:02:48,2026-04-03,Shift4,,SEC-302-BAR,TERM-134,INV-S4-100001,SALE,14.81,OFFLINE_UNSYNCED,AUTH3122,,,,,,Unsettled status,Shift4 terminal failed to sync its offline batch before end-of-day settlement cutoff — most likely caused by intermittent Wi-Fi in the stadium concourse during peak halftime load.,Ping the Shift Manager to force a manual terminal sync and re-run the Shift4 batch before final close.
transaction,txn-03928,2026-04-03 19:04:50,2026-04-03,Tapin2,,PREMIUM-LOUNGE-ORDER,T2-KIOSK-9,T2-500011,SALE,33.78,PENDING,T2REF61746,,,,,,Unsettled status,Tapin2 digital order was confirmed by the guest but the settlement export did not include it — common when orders are placed offline and sync lags behind the export cutoff.,Pull the Tapin2 order management portal for the reference ID and manually reconcile against the export file.
transaction,txn-04129,2026-04-03 19:06:35,2026-04-03,SeatGeek,,GATE-B-TICKET,SG-BOX-3,SG-ORD-401714,REFUND,293.81,SETTLED,SG48640,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-04208,2026-04-03 19:07:14,2026-04-03,SeatGeek,,GATE-B-TICKET,SG-BOX-2,SG-ORD-400307,REFUND,319.31,SETTLED,SG44098,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-04211,2026-04-03 19:07:15,2026-04-03,Shift4,,MERCH-MAIN,TERM-121,INV-S4-100017,SALE,27.87,OFFLINE_UNSYNCED,AUTH7576,,,,,,Unsettled status,Shift4 terminal failed to sync its offline batch before end-of-day settlement cutoff — most likely caused by intermittent Wi-Fi in the stadium concourse during peak halftime load.,Ping the Shift Manager to force a manual terminal sync and re-run the Shift4 batch before final close.
transaction,txn-04390,2026-04-03 19:09:02,2026-04-03,SeatGeek,,PREMIUM-SUITE-ENTRY,SG-BOX-2,SG-ORD-401194,REFUND,92.33,SETTLED,SG56048,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-04438,2026-04-03 19:09:27,2026-04-03,SeatGeek,,PREMIUM-SUITE-ENTRY,SG-BOX-4,SG-ORD-401151,REFUND,150.11,SETTLED,SG95753,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-04805,2026-04-03 19:12:44,2026-04-03,Shift4,,SEC-302-BAR,TERM-105,INV-S4-100015,SALE,13.6,OFFLINE_UNSYNCED,AUTH9928,,,,,,Unsettled status,Shift4 terminal failed to sync its offline batch before end-of-day settlement cutoff — most likely caused by intermittent Wi-Fi in the stadium concourse during peak halftime load.,Ping the Shift Manager to force a manual terminal sync and re-run the Shift4 batch before final close.
transaction,txn-04837,2026-04-03 19:13:04,2026-04-03,Shift4,,MERCH-MAIN,TERM-112,INV-S4-100009,SALE,12.4,OFFLINE_UNSYNCED,AUTH4898,,,,,,Unsettled status,Shift4 terminal failed to sync its offline batch before end-of-day settlement cutoff — most likely caused by intermittent Wi-Fi in the stadium concourse during peak halftime load.,Ping the Shift Manager to force a manual terminal sync and re-run the Shift4 batch before final close.
transaction,txn-04857,2026-04-03 19:13:12,2026-04-03,SeatGeek,,BOX-OFFICE,SG-BOX-1,SG-ORD-402231,REFUND,125.83,SETTLED,SG64314,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-04927,2026-04-03 19:13:47,2026-04-03,Shift4,,SEC-302-BAR,TERM-104,INV-S4-100037,SALE,25.24,OFFLINE_UNSYNCED,AUTH5634,,,,,,Unsettled status,Shift4 terminal failed to sync its offline batch before end-of-day settlement cutoff — most likely caused by intermittent Wi-Fi in the stadium concourse during peak halftime load.,Ping the Shift Manager to force a manual terminal sync and re-run the Shift4 batch before final close.
transaction,txn-04976,2026-04-03 19:14:16,2026-04-03,SeatGeek,,BOX-OFFICE,SG-BOX-1,SG-ORD-402400,REFUND,201.68,SETTLED,SG41315,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-05034,2026-04-03 19:14:39,2026-04-03,Shift4,,MERCH-MAIN,TERM-114,INV-S4-100038,SALE,40.04,OFFLINE_UNSYNCED,AUTH5018,,,,,,Unsettled status,Shift4 terminal failed to sync its offline batch before end-of-day settlement cutoff — most likely caused by intermittent Wi-Fi in the stadium concourse during peak halftime load.,Ping the Shift Manager to force a manual terminal sync and re-run the Shift4 batch before final close.
transaction,txn-05119,2026-04-03 19:15:14,2026-04-03,Shift4,,SEC-302-BAR,TERM-126,INV-S4-100033,SALE,44.5,OFFLINE_UNSYNCED,AUTH8783,,,,,,Unsettled status,Shift4 terminal failed to sync its offline batch before end-of-day settlement cutoff — most likely caused by intermittent Wi-Fi in the stadium concourse during peak halftime load.,Ping the Shift Manager to force a manual terminal sync and re-run the Shift4 batch before final close.
transaction,txn-05299,2026-04-03 19:16:36,2026-04-03,SeatGeek,,GATE-B-TICKET,SG-BOX-7,SG-ORD-400466,REFUND,176.28,SETTLED,SG93651,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-05537,2026-04-03 19:18:19,2026-04-03,FreedomPay,,VIP-SUITE-B,FP-TERM-11,REQ-FP-200005,SALE,358.82,SETTLED,,,,,,,Missing auth code,"FreedomPay authorization was declined or never received — the auth code field is blank, indicating the card was presented but not approved.",Review the FreedomPay transaction journal for this reference ID and flag for potential cardholder dispute.
transaction,txn-05658,2026-04-03 19:19:10,2026-04-03,SeatGeek,,PREMIUM-SUITE-ENTRY,SG-BOX-3,SG-ORD-401262,REFUND,231.03,SETTLED,SG67397,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-05850,2026-04-03 19:20:40,2026-04-03,SeatGeek,,BOX-OFFICE,SG-BOX-4,SG-ORD-402325,REFUND,109.0,SETTLED,SG13817,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-05904,2026-04-03 19:21:02,2026-04-03,SeatGeek,,BOX-OFFICE,SG-BOX-6,SG-ORD-402516,REFUND,159.94,SETTLED,SG50855,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-05914,2026-04-03 19:21:06,2026-04-03,SeatGeek,,PREMIUM-SUITE-ENTRY,SG-BOX-7,SG-ORD-402066,REFUND,222.38,SETTLED,SG40037,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-05938,2026-04-03 19:21:16,2026-04-03,Tapin2,,SUITE-DELIVERY,T2-KIOSK-5,T2-500005,SALE,54.55,PENDING,T2REF93939,,,,,,Unsettled status,Tapin2 digital order was confirmed by the guest but the settlement export did not include it — common when orders are placed offline and sync lags behind the export cutoff.,Pull the Tapin2 order management portal for the reference ID and manually reconcile against the export file.
transaction,txn-06034,2026-04-03 19:21:55,2026-04-03,SeatGeek,,BOX-OFFICE,SG-BOX-2,SG-ORD-402485,REFUND,288.26,SETTLED,SG85675,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-06119,2026-04-03 19:22:32,2026-04-03,Shift4,,SEC-302-BAR,TERM-104,INV-S4-100021,SALE,12.17,OFFLINE_UNSYNCED,AUTH8325,,,,,,Unsettled status,Shift4 terminal failed to sync its offline batch before end-of-day settlement cutoff — most likely caused by intermittent Wi-Fi in the stadium concourse during peak halftime load.,Ping the Shift Manager to force a manual terminal sync and re-run the Shift4 batch before final close.
transaction,txn-06128,2026-04-03 19:22:36,2026-04-03,SeatGeek,,GATE-B-TICKET,SG-BOX-1,SG-ORD-401646,REFUND,344.2,SETTLED,SG11212,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-06244,2026-04-03 19:23:23,2026-04-03,Shift4,,MERCH-MAIN,TERM-103,INV-S4-100042,SALE,20.22,OFFLINE_UNSYNCED,AUTH5621,,,,,,Unsettled status,Shift4 terminal failed to sync its offline batch before end-of-day settlement cutoff — most likely caused by intermittent Wi-Fi in the stadium concourse during peak halftime load.,Ping the Shift Manager to force a manual terminal sync and re-run the Shift4 batch before final close.
transaction,txn-06459,2026-04-03 19:25:02,2026-04-03,SeatGeek,,BOX-OFFICE,SG-BOX-6,SG-ORD-402849,REFUND,296.96,SETTLED,SG78493,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-06494,2026-04-03 19:25:15,2026-04-03,FreedomPay,,VIP-SUITE-B,FP-TERM-18,REQ-FP-200008,SALE,270.87,SETTLED,,,,,,,Missing auth code,"FreedomPay authorization was declined or never received — the auth code field is blank, indicating the card was presented but not approved.",Review the FreedomPay transaction journal for this reference ID and flag for potential cardholder dispute.
transaction,txn-06736,2026-04-03 19:27:00,2026-04-03,SeatGeek,,GATE-A-TICKET,SG-BOX-3,SG-ORD-400003,SALE,1638.51,SETTLED,SG25203,,,,,,Duplicate reference,"Two or more ledger rows share the same processor reference ID, suggesting either a double export by the processor or a duplicate settlement batch upload.",Cross-check the raw export file for duplicate rows and void the secondary entry if the charge amount matches.
transaction,txn-06736,2026-04-03 19:27:00,2026-04-03,SeatGeek,,GATE-A-TICKET,SG-BOX-3,SG-ORD-400003,SALE,1638.51,SETTLED,SG25203,,,,,,High-value review,Large SeatGeek box-office transaction — likely a premium suite or VIP package sale that exceeds standard transaction thresholds.,Validate against the box-office manifest and confirm suite invoice number before finalising the ledger.
transaction,txn-07122,2026-04-03 19:29:23,2026-04-03,SeatGeek,,PREMIUM-SUITE-ENTRY,SG-BOX-6,SG-ORD-401252,REFUND,200.69,SETTLED,SG46031,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-07320,2026-04-03 19:30:36,2026-04-03,SeatGeek,,BOX-OFFICE,SG-BOX-4,SG-ORD-402134,REFUND,138.08,SETTLED,SG72625,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-07380,2026-04-03 19:30:58,2026-04-03,FreedomPay,,VIP-SUITE-B,FP-TERM-18,REQ-FP-200029,SALE,410.64,SETTLED,,,,,,,Missing auth code,"FreedomPay authorization was declined or never received — the auth code field is blank, indicating the card was presented but not approved.",Review the FreedomPay transaction journal for this reference ID and flag for potential cardholder dispute.
transaction,txn-07416,2026-04-03 19:31:13,2026-04-03,SeatGeek,,GATE-A-TICKET,SG-BOX-7,SG-ORD-402117,REFUND,152.61,SETTLED,SG10607,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-07498,2026-04-03 19:31:49,2026-04-03,Shift4,,SEC-114-CONCESSIONS,TERM-114,INV-S4-100032,SALE,35.58,OFFLINE_UNSYNCED,AUTH3090,,,,,,Unsettled status,Shift4 terminal failed to sync its offline batch before end-of-day settlement cutoff — most likely caused by intermittent Wi-Fi in the stadium concourse during peak halftime load.,Ping the Shift Manager to force a manual terminal sync and re-run the Shift4 batch before final close.
transaction,txn-07507,2026-04-03 19:31:54,2026-04-03,SeatGeek,,BOX-OFFICE,SG-BOX-3,SG-ORD-401614,REFUND,260.96,SETTLED,SG27174,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-07598,2026-04-03 19:32:31,2026-04-03,SeatGeek,,GATE-A-TICKET,SG-BOX-4,SG-ORD-401593,REFUND,322.69,SETTLED,SG78535,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-07800,2026-04-03 19:33:55,2026-04-03,SeatGeek,,GATE-A-TICKET,SG-BOX-1,SG-ORD-400435,REFUND,202.05,SETTLED,SG72474,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-08028,2026-04-03 19:35:18,2026-04-03,SeatGeek,,BOX-OFFICE,SG-BOX-7,SG-ORD-401228,REFUND,326.63,SETTLED,SG92528,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-08191,2026-04-03 19:36:16,2026-04-03,SeatGeek,,GATE-A-TICKET,SG-BOX-1,SG-ORD-400901,REFUND,340.26,SETTLED,SG32555,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-08216,2026-04-03 19:36:26,2026-04-03,Shift4,,SEC-302-BAR,TERM-129,INV-S4-100024,SALE,33.69,OFFLINE_UNSYNCED,AUTH9315,,,,,,Unsettled status,Shift4 terminal failed to sync its offline batch before end-of-day settlement cutoff — most likely caused by intermittent Wi-Fi in the stadium concourse during peak halftime load.,Ping the Shift Manager to force a manual terminal sync and re-run the Shift4 batch before final close.
transaction,txn-08222,2026-04-03 19:36:29,2026-04-03,SeatGeek,,BOX-OFFICE,SG-BOX-1,SG-ORD-400450,REFUND,101.94,SETTLED,SG89082,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
